engenharia ambiental;7 período;EA37B - MANEJO DE RECURSOS NATURAIS (IF7A_CM)
engenharia ambiental;7 período;EA37H - GESTÃO DE QUALIDADE (IF7A_CM)
engenharia ambiental;7 período;EA37G - GERENCIAMENTO E TRATAMENTO DE EMISSÕES ATMOSFÉRICAS (IF7A_CM)
engenharia ambiental;7 período;EA37C - CONVERSÃO, CONSERVAÇÃO DE ENERGIA E EFICIÊCIA ENERGÉTICA (IF7A_CM)
engenharia ambiental;7 período;EA37A - AVALIAÇÃO DE IMPACTOS AMBIENTAIS (IF7A_CM)
engenharia ambiental;7 período;EA37E - ADMINISTRAÇÃO FINANCEIRA (IF7A_CM)
engenharia ambiental;8 período;EA38A - RECUPERAÇÃO DE ÁREAS DEGRADADAS (IF8A_CM)
engenharia ambiental;8 período;EA38E - GERENCIAMENTO E TRATAMENTO DE ÁGUA (IF8A_CM)
engenharia ambiental;8 período;EA38B - GERENCIAMENTO E TRATAMENTO DE RESÍDUOS SÓLIDOS (IF8A_CM)
engenharia ambiental;8 período;EA38D - FUNDAMENTOS DE ENGENHARIA DE SEGURANÇA DO TRABALHO (IF8A_CM)
engenharia ambiental;8 período;EA38C - FONTES DE ENERGIA (IF8A_CM)
engenharia ambiental;8 período;EA38F - AUDITORIA AMBIENTAL (IF8A_CM)
engenharia ambiental;9 período;EA39B - Bioprocessos E Biotecnologia Aplicada (IF9B_CM)
engenharia ambiental;9 período;LA38O - Licenciamento Ambiental (IF9A_CM)
engenharia ambiental;9 período;TC39A - Trabalho De Conclusão De Curso I (IF9A_CM)
engenharia ambiental;9 período;EA39C - GERENCIAMENTO E TRATAMENTO DE EFLUENTES (IF9A_CM)
engenharia ambiental;9 período;EA39A - ÉTICA, PROFISSÃO E CIDADANIA (IF9A_CM)
engenharia ambiental;9 período;EA39B - BIOPROCESSOS E BIOTECNOLOGIA APLICADA (IF9A_CM)
engenharia civil;1 período;IE3X1 - INTRODUÇÃO A ENGENHARIA (ID1A_CM)
engenharia civil;1 período;EG3X1 - EXPRESSÃO GRAFICA (ID1B_CM)
engenharia civil;1 período;EG3X1 - EXPRESSÃO GRAFICA (ID1A_CM)
engenharia civil;1 período;FS3X1 - FISICA 1 (ID1B_CM)
engenharia civil;1 período;FS3X1 - FISICA 1 (ID1A_CM)
engenharia civil;1 período;GA3X1 - GEOMETRIA ANALÍTICA E ÁLGEBRA LINEAR (ID1A_CM)
engenharia civil;1 período;CV31A - COMUNICAÇÃO LINGUISTICA (ID1A_CM)
